民國年,月,區代碼,行政區,年齡標籤,年齡下限,年齡上限,青年關係,青年權重,性別,婚姻狀況,是否同性婚,人數
109,,24,金山區,85~89歲,85,89,不相關,0.0,女,喪偶,1,0
109,,24,金山區,85~89歲,85,89,不相關,0.0,女,有偶,0,6
109,,24,金山區,85~89歲,85,89,不相關,0.0,女,有偶,1,0
109,,24,金山區,85~89歲,85,89,不相關,0.0,女,未婚,0,0
109,,24,金山區,85~89歲,85,89,不相關,0.0,女,離婚,0,0
109,,24,金山區,85~89歲,85,89,不相關,0.0,女,離婚,1,0
109,,24,金山區,85~89歲,85,89,不相關,0.0,男,喪偶,0,10
109,,24,金山區,85~89歲,85,89,不相關,0.0,男,喪偶,1,0
109,,24,金山區,85~89歲,85,89,不相關,0.0,男,有偶,0,28
109,,24,金山區,85~89歲,85,89,不相關,0.0,男,有偶,1,0
109,,24,金山區,85~89歲,85,89,不相關,0.0,男,未婚,0,1
109,,24,金山區,85~89歲,85,89,不相關,0.0,男,離婚,0,1
109,,24,金山區,85~89歲,85,89,不相關,0.0,男,離婚,1,0
109,,24,金山區,90~94歲,90,94,不相關,0.0,女,喪偶,0,48
109,,24,金山區,90~94歲,90,94,不相關,0.0,女,喪偶,1,0
109,,24,金山區,90~94歲,90,94,不相關,0.0,女,有偶,0,2
109,,24,金山區,90~94歲,90,94,不相關,0.0,女,有偶,1,0
109,,24,金山區,90~94歲,90,94,不相關,0.0,女,未婚,0,1
109,,24,金山區,90~94歲,90,94,不相關,0.0,女,離婚,0,1
109,,24,金山區,90~94歲,90,94,不相關,0.0,女,離婚,1,0
109,,24,金山區,90~94歲,90,94,不相關,0.0,男,喪偶,0,4
109,,24,金山區,90~94歲,90,94,不相關,0.0,男,喪偶,1,0
109,,24,金山區,90~94歲,90,94,不相關,0.0,男,有偶,0,10
109,,24,金山區,90~94歲,90,94,不相關,0.0,男,有偶,1,0
109,,24,金山區,90~94歲,90,94,不相關,0.0,男,未婚,0,1
109,,24,金山區,90~94歲,90,94,不相關,0.0,男,離婚,0,1
109,,24,金山區,90~94歲,90,94,不相關,0.0,男,離婚,1,0
109,,24,金山區,95~99歲,95,99,不相關,0.0,女,喪偶,0,16
109,,24,金山區,95~99歲,95,99,不相關,0.0,女,喪偶,1,0
109,,24,金山區,95~99歲,95,99,不相關,0.0,女,有偶,0,0
109,,24,金山區,95~99歲,95,99,不相關,0.0,女,有偶,1,0
109,,24,金山區,95~99歲,95,99,不相關,0.0,女,未婚,0,0
109,,24,金山區,95~99歲,95,99,不相關,0.0,女,離婚,0,0
109,,24,金山區,95~99歲,95,99,不相關,0.0,女,離婚,1,0
109,,24,金山區,95~99歲,95,99,不相關,0.0,男,喪偶,0,4
109,,24,金山區,95~99歲,95,99,不相關,0.0,男,喪偶,1,0
109,,24,金山區,95~99歲,95,99,不相關,0.0,男,有偶,0,1
109,,24,金山區,95~99歲,95,99,不相關,0.0,男,有偶,1,0
109,,24,金山區,95~99歲,95,99,不相關,0.0,男,未婚,0,0
109,,24,金山區,95~99歲,95,99,不相關,0.0,男,離婚,0,0
109,,24,金山區,95~99歲,95,99,不相關,0.0,男,離婚,1,0
109,,24,金山區,100歲以上,100,120,不相關,0.0,女,喪偶,0,1
109,,24,金山區,100歲以上,100,120,不相關,0.0,女,喪偶,1,0
109,,24,金山區,100歲以上,100,120,不相關,0.0,女,有偶,0,0
109,,24,金山區,100歲以上,100,120,不相關,0.0,女,有偶,1,0
109,,24,金山區,100歲以上,100,120,不相關,0.0,女,未婚,0,0
109,,24,金山區,100歲以上,100,120,不相關,0.0,女,離婚,0,0
109,,24,金山區,100歲以上,100,120,不相關,0.0,女,離婚,1,0
109,,24,金山區,100歲以上,100,120,不相關,0.0,男,喪偶,0,1
109,,24,金山區,100歲以上,100,120,不相關,0.0,男,喪偶,1,0
109,,24,金山區,100歲以上,100,120,不相關,0.0,男,有偶,0,0
109,,24,金山區,100歲以上,100,120,不相關,0.0,男,有偶,1,0
109,,24,金山區,100歲以上,100,120,不相關,0.0,男,未婚,0,0
109,,24,金山區,100歲以上,100,120,不相關,0.0,男,離婚,0,0
109,,24,金山區,100歲以上,100,120,不相關,0.0,男,離婚,1,0
109,,25,萬里區,未滿15歲,0,14,不相關,0.0,女,喪偶,0,0
109,,25,萬里區,未滿15歲,0,14,不相關,0.0,女,喪偶,1,0
109,,25,萬里區,未滿15歲,0,14,不相關,0.0,女,有偶,0,0
109,,25,萬里區,未滿15歲,0,14,不相關,0.0,女,有偶,1,0
109,,25,萬里區,未滿15歲,0,14,不相關,0.0,女,未婚,0,258
109,,25,萬里區,未滿15歲,0,14,不相關,0.0,女,離婚,0,0
109,,25,萬里區,未滿15歲,0,14,不相關,0.0,女,離婚,1,0
109,,25,萬里區,未滿15歲,0,14,不相關,0.0,男,喪偶,0,0
109,,25,萬里區,未滿15歲,0,14,不相關,0.0,男,喪偶,1,0
109,,25,萬里區,未滿15歲,0,14,不相關,0.0,男,有偶,0,0
109,,25,萬里區,未滿15歲,0,14,不相關,0.0,男,有偶,1,0
109,,25,萬里區,未滿15歲,0,14,不相關,0.0,男,未婚,0,280
109,,25,萬里區,未滿15歲,0,14,不相關,0.0,男,離婚,0,0
109,,25,萬里區,未滿15歲,0,14,不相關,0.0,男,離婚,1,0
109,,25,萬里區,15~19歲,15,19,部分重疊,0.4,女,喪偶,0,0
109,,25,萬里區,15~19歲,15,19,部分重疊,0.4,女,喪偶,1,0
109,,25,萬里區,15~19歲,15,19,部分重疊,0.4,女,有偶,0,0
109,,25,萬里區,15~19歲,15,19,部分重疊,0.4,女,有偶,1,0
109,,25,萬里區,15~19歲,15,19,部分重疊,0.4,女,未婚,0,148
109,,25,萬里區,15~19歲,15,19,部分重疊,0.4,女,離婚,0,1
109,,25,萬里區,15~19歲,15,19,部分重疊,0.4,女,離婚,1,0
109,,25,萬里區,15~19歲,15,19,部分重疊,0.4,男,喪偶,0,0
109,,25,萬里區,15~19歲,15,19,部分重疊,0.4,男,喪偶,1,0
109,,25,萬里區,15~19歲,15,19,部分重疊,0.4,男,有偶,0,0
109,,25,萬里區,15~19歲,15,19,部分重疊,0.4,男,有偶,1,0
109,,25,萬里區,15~19歲,15,19,部分重疊,0.4,男,未婚,0,154
109,,25,萬里區,15~19歲,15,19,部分重疊,0.4,男,離婚,0,0
109,,25,萬里區,15~19歲,15,19,部分重疊,0.4,男,離婚,1,0
109,,25,萬里區,20~24歲,20,24,完全落入,1.0,女,喪偶,0,0
109,,25,萬里區,20~24歲,20,24,完全落入,1.0,女,喪偶,1,0
109,,25,萬里區,20~24歲,20,24,完全落入,1.0,女,有偶,0,9
109,,25,萬里區,20~24歲,20,24,完全落入,1.0,女,有偶,1,0
109,,25,萬里區,20~24歲,20,24,完全落入,1.0,女,未婚,0,187
109,,25,萬里區,20~24歲,20,24,完全落入,1.0,女,離婚,0,2
109,,25,萬里區,20~24歲,20,24,完全落入,1.0,女,離婚,1,0
109,,25,萬里區,20~24歲,20,24,完全落入,1.0,男,喪偶,0,0
109,,25,萬里區,20~24歲,20,24,完全落入,1.0,男,喪偶,1,0
109,,25,萬里區,20~24歲,20,24,完全落入,1.0,男,有偶,0,8
109,,25,萬里區,20~24歲,20,24,完全落入,1.0,男,有偶,1,0
109,,25,萬里區,20~24歲,20,24,完全落入,1.0,男,未婚,0,195
109,,25,萬里區,20~24歲,20,24,完全落入,1.0,男,離婚,0,1
109,,25,萬里區,20~24歲,20,24,完全落入,1.0,男,離婚,1,0
109,,25,萬里區,25~29歲,25,29,完全落入,1.0,女,喪偶,0,0
109,,25,萬里區,25~29歲,25,29,完全落入,1.0,女,喪偶,1,0
109,,25,萬里區,25~29歲,25,29,完全落入,1.0,女,有偶,0,27
109,,25,萬里區,25~29歲,25,29,完全落入,1.0,女,有偶,1,0
109,,25,萬里區,25~29歲,25,29,完全落入,1.0,女,未婚,0,202
109,,25,萬里區,25~29歲,25,29,完全落入,1.0,女,離婚,0,4
109,,25,萬里區,25~29歲,25,29,完全落入,1.0,女,離婚,1,0
109,,25,萬里區,25~29歲,25,29,完全落入,1.0,男,喪偶,0,0
109,,25,萬里區,25~29歲,25,29,完全落入,1.0,男,喪偶,1,0
109,,25,萬里區,25~29歲,25,29,完全落入,1.0,男,有偶,0,23
109,,25,萬里區,25~29歲,25,29,完全落入,1.0,男,有偶,1,0
109,,25,萬里區,25~29歲,25,29,完全落入,1.0,男,未婚,0,208
109,,25,萬里區,25~29歲,25,29,完全落入,1.0,男,離婚,0,6
109,,25,萬里區,25~29歲,25,29,完全落入,1.0,男,離婚,1,0
109,,25,萬里區,30~34歲,30,34,完全落入,1.0,女,喪偶,0,1
109,,25,萬里區,30~34歲,30,34,完全落入,1.0,女,喪偶,1,0
109,,25,萬里區,30~34歲,30,34,完全落入,1.0,女,有偶,0,56
109,,25,萬里區,30~34歲,30,34,完全落入,1.0,女,有偶,1,0
109,,25,萬里區,30~34歲,30,34,完全落入,1.0,女,未婚,0,108
109,,25,萬里區,30~34歲,30,34,完全落入,1.0,女,離婚,0,14
109,,25,萬里區,30~34歲,30,34,完全落入,1.0,女,離婚,1,0
109,,25,萬里區,30~34歲,30,34,完全落入,1.0,男,喪偶,0,0
109,,25,萬里區,30~34歲,30,34,完全落入,1.0,男,喪偶,1,0
109,,25,萬里區,30~34歲,30,34,完全落入,1.0,男,有偶,0,46
109,,25,萬里區,30~34歲,30,34,完全落入,1.0,男,有偶,1,0
109,,25,萬里區,30~34歲,30,34,完全落入,1.0,男,未婚,0,140
109,,25,萬里區,30~34歲,30,34,完全落入,1.0,男,離婚,0,10
109,,25,萬里區,30~34歲,30,34,完全落入,1.0,男,離婚,1,0
109,,25,萬里區,35~39歲,35,39,部分重疊,0.2,女,喪偶,0,1
109,,25,萬里區,35~39歲,35,39,部分重疊,0.2,女,喪偶,1,0
109,,25,萬里區,35~39歲,35,39,部分重疊,0.2,女,有偶,0,110
109,,25,萬里區,35~39歲,35,39,部分重疊,0.2,女,有偶,1,0
109,,25,萬里區,35~39歲,35,39,部分重疊,0.2,女,未婚,0,78
109,,25,萬里區,35~39歲,35,39,部分重疊,0.2,女,離婚,0,27
109,,25,萬里區,35~39歲,35,39,部分重疊,0.2,女,離婚,1,0
109,,25,萬里區,35~39歲,35,39,部分重疊,0.2,男,喪偶,0,0
109,,25,萬里區,35~39歲,35,39,部分重疊,0.2,男,喪偶,1,0
109,,25,萬里區,35~39歲,35,39,部分重疊,0.2,男,有偶,0,72
109,,25,萬里區,35~39歲,35,39,部分重疊,0.2,男,有偶,1,0
109,,25,萬里區,35~39歲,35,39,部分重疊,0.2,男,未婚,0,146
109,,25,萬里區,35~39歲,35,39,部分重疊,0.2,男,離婚,0,26
109,,25,萬里區,35~39歲,35,39,部分重疊,0.2,男,離婚,1,0
109,,25,萬里區,40~44歲,40,44,不相關,0.0,女,喪偶,0,2
109,,25,萬里區,40~44歲,40,44,不相關,0.0,女,喪偶,1,0
109,,25,萬里區,40~44歲,40,44,不相關,0.0,女,有偶,0,131
109,,25,萬里區,40~44歲,40,44,不相關,0.0,女,有偶,1,0
109,,25,萬里區,40~44歲,40,44,不相關,0.0,女,未婚,0,73
109,,25,萬里區,40~44歲,40,44,不相關,0.0,女,離婚,0,46
109,,25,萬里區,40~44歲,40,44,不相關,0.0,女,離婚,1,0
109,,25,萬里區,40~44歲,40,44,不相關,0.0,男,喪偶,0,1
109,,25,萬里區,40~44歲,40,44,不相關,0.0,男,喪偶,1,0
109,,25,萬里區,40~44歲,40,44,不相關,0.0,男,有偶,0,143
109,,25,萬里區,40~44歲,40,44,不相關,0.0,男,有偶,1,0
109,,25,萬里區,40~44歲,40,44,不相關,0.0,男,未婚,0,144
109,,25,萬里區,40~44歲,40,44,不相關,0.0,男,離婚,0,52
109,,25,萬里區,40~44歲,40,44,不相關,0.0,男,離婚,1,0
109,,25,萬里區,45~49歲,45,49,不相關,0.0,女,喪偶,0,8
109,,25,萬里區,45~49歲,45,49,不相關,0.0,女,喪偶,1,0
109,,25,萬里區,45~49歲,45,49,不相關,0.0,女,有偶,0,111
109,,25,萬里區,45~49歲,45,49,不相關,0.0,女,有偶,1,0
109,,25,萬里區,45~49歲,45,49,不相關,0.0,女,未婚,0,45
109,,25,萬里區,45~49歲,45,49,不相關,0.0,女,離婚,0,45
109,,25,萬里區,45~49歲,45,49,不相關,0.0,女,離婚,1,0
109,,25,萬里區,45~49歲,45,49,不相關,0.0,男,喪偶,0,2
109,,25,萬里區,45~49歲,45,49,不相關,0.0,男,喪偶,1,0
109,,25,萬里區,45~49歲,45,49,不相關,0.0,男,有偶,0,187
109,,25,萬里區,45~49歲,45,49,不相關,0.0,男,有偶,1,0
109,,25,萬里區,45~49歲,45,49,不相關,0.0,男,未婚,0,111
109,,25,萬里區,45~49歲,45,49,不相關,0.0,男,離婚,0,67
109,,25,萬里區,45~49歲,45,49,不相關,0.0,男,離婚,1,0
109,,25,萬里區,50~54歲,50,54,不相關,0.0,女,喪偶,0,21
109,,25,萬里區,50~54歲,50,54,不相關,0.0,女,喪偶,1,0
109,,25,萬里區,50~54歲,50,54,不相關,0.0,女,有偶,0,162
109,,25,萬里區,50~54歲,50,54,不相關,0.0,女,有偶,1,0
109,,25,萬里區,50~54歲,50,54,不相關,0.0,女,未婚,0,50
109,,25,萬里區,50~54歲,50,54,不相關,0.0,女,離婚,0,49
109,,25,萬里區,50~54歲,50,54,不相關,0.0,女,離婚,1,0
109,,25,萬里區,50~54歲,50,54,不相關,0.0,男,喪偶,0,1
109,,25,萬里區,50~54歲,50,54,不相關,0.0,男,喪偶,1,0
109,,25,萬里區,50~54歲,50,54,不相關,0.0,男,有偶,0,265
109,,25,萬里區,50~54歲,50,54,不相關,0.0,男,有偶,1,0
109,,25,萬里區,50~54歲,50,54,不相關,0.0,男,未婚,0,115
109,,25,萬里區,50~54歲,50,54,不相關,0.0,男,離婚,0,99
109,,25,萬里區,50~54歲,50,54,不相關,0.0,男,離婚,1,0
109,,25,萬里區,55~59歲,55,59,不相關,0.0,女,喪偶,0,23
109,,25,萬里區,55~59歲,55,59,不相關,0.0,女,喪偶,1,0
109,,25,萬里區,55~59歲,55,59,不相關,0.0,女,有偶,0,199
109,,25,萬里區,55~59歲,55,59,不相關,0.0,女,有偶,1,0
109,,25,萬里區,55~59歲,55,59,不相關,0.0,女,未婚,0,41
109,,25,萬里區,55~59歲,55,59,不相關,0.0,女,離婚,0,54
109,,25,萬里區,55~59歲,55,59,不相關,0.0,女,離婚,1,0
109,,25,萬里區,55~59歲,55,59,不相關,0.0,男,喪偶,0,8
109,,25,萬里區,55~59歲,55,59,不相關,0.0,男,喪偶,1,0
109,,25,萬里區,55~59歲,55,59,不相關,0.0,男,有偶,0,336
109,,25,萬里區,55~59歲,55,59,不相關,0.0,男,有偶,1,0
109,,25,萬里區,55~59歲,55,59,不相關,0.0,男,未婚,0,81
109,,25,萬里區,55~59歲,55,59,不相關,0.0,男,離婚,0,107
109,,25,萬里區,55~59歲,55,59,不相關,0.0,男,離婚,1,0
109,,25,萬里區,60~64歲,60,64,不相關,0.0,女,喪偶,0,48
109,,25,萬里區,60~64歲,60,64,不相關,0.0,女,喪偶,1,0
109,,25,萬里區,60~64歲,60,64,不相關,0.0,女,有偶,0,213
109,,25,萬里區,60~64歲,60,64,不相關,0.0,女,有偶,1,0
109,,25,萬里區,60~64歲,60,64,不相關,0.0,女,未婚,0,13
109,,25,萬里區,60~64歲,60,64,不相關,0.0,女,離婚,0,35
109,,25,萬里區,60~64歲,60,64,不相關,0.0,女,離婚,1,0
109,,25,萬里區,60~64歲,60,64,不相關,0.0,男,喪偶,0,17
109,,25,萬里區,60~64歲,60,64,不相關,0.0,男,喪偶,1,0
109,,25,萬里區,60~64歲,60,64,不相關,0.0,男,有偶,0,341
109,,25,萬里區,60~64歲,60,64,不相關,0.0,男,有偶,1,0
109,,25,萬里區,60~64歲,60,64,不相關,0.0,男,未婚,0,39
109,,25,萬里區,60~64歲,60,64,不相關,0.0,男,離婚,0,72
109,,25,萬里區,60~64歲,60,64,不相關,0.0,男,離婚,1,0
109,,25,萬里區,65~69歲,65,69,不相關,0.0,女,喪偶,0,80
109,,25,萬里區,65~69歲,65,69,不相關,0.0,女,喪偶,1,0
109,,25,萬里區,65~69歲,65,69,不相關,0.0,女,有偶,0,193
109,,25,萬里區,65~69歲,65,69,不相關,0.0,女,有偶,1,0
109,,25,萬里區,65~69歲,65,69,不相關,0.0,女,未婚,0,17
109,,25,萬里區,65~69歲,65,69,不相關,0.0,女,離婚,0,25
109,,25,萬里區,65~69歲,65,69,不相關,0.0,女,離婚,1,0
109,,25,萬里區,65~69歲,65,69,不相關,0.0,男,喪偶,0,21
109,,25,萬里區,65~69歲,65,69,不相關,0.0,男,喪偶,1,0
109,,25,萬里區,65~69歲,65,69,不相關,0.0,男,有偶,0,284
109,,25,萬里區,65~69歲,65,69,不相關,0.0,男,有偶,1,0
109,,25,萬里區,65~69歲,65,69,不相關,0.0,男,未婚,0,35
109,,25,萬里區,65~69歲,65,69,不相關,0.0,男,離婚,0,41
109,,25,萬里區,65~69歲,65,69,不相關,0.0,男,離婚,1,0
109,,25,萬里區,70~74歲,70,74,不相關,0.0,女,喪偶,0,110
109,,25,萬里區,70~74歲,70,74,不相關,0.0,女,喪偶,1,0
109,,25,萬里區,70~74歲,70,74,不相關,0.0,女,有偶,0,105
109,,25,萬里區,70~74歲,70,74,不相關,0.0,女,有偶,1,0
109,,25,萬里區,70~74歲,70,74,不相關,0.0,女,未婚,0,6
109,,25,萬里區,70~74歲,70,74,不相關,0.0,女,離婚,0,10
109,,25,萬里區,70~74歲,70,74,不相關,0.0,女,離婚,1,0
109,,25,萬里區,70~74歲,70,74,不相關,0.0,男,喪偶,0,14
109,,25,萬里區,70~74歲,70,74,不相關,0.0,男,喪偶,1,0
109,,25,萬里區,70~74歲,70,74,不相關,0.0,男,有偶,0,198
109,,25,萬里區,70~74歲,70,74,不相關,0.0,男,有偶,1,0
109,,25,萬里區,70~74歲,70,74,不相關,0.0,男,未婚,0,8
109,,25,萬里區,70~74歲,70,74,不相關,0.0,男,離婚,0,25
109,,25,萬里區,70~74歲,70,74,不相關,0.0,男,離婚,1,0
109,,25,萬里區,75~79歲,75,79,不相關,0.0,女,喪偶,0,139
109,,25,萬里區,75~79歲,75,79,不相關,0.0,女,喪偶,1,0
109,,25,萬里區,75~79歲,75,79,不相關,0.0,女,有偶,0,76
109,,25,萬里區,75~79歲,75,79,不相關,0.0,女,有偶,1,0
109,,25,萬里區,75~79歲,75,79,不相關,0.0,女,未婚,0,1
109,,25,萬里區,75~79歲,75,79,不相關,0.0,女,離婚,0,0
109,,25,萬里區,75~79歲,75,79,不相關,0.0,女,離婚,1,0
109,,25,萬里區,75~79歲,75,79,不相關,0.0,男,喪偶,0,27
109,,25,萬里區,75~79歲,75,79,不相關,0.0,男,喪偶,1,0
109,,25,萬里區,75~79歲,75,79,不相關,0.0,男,有偶,0,120
109,,25,萬里區,75~79歲,75,79,不相關,0.0,男,有偶,1,0
109,,25,萬里區,75~79歲,75,79,不相關,0.0,男,未婚,0,7
109,,25,萬里區,75~79歲,75,79,不相關,0.0,男,離婚,0,8
109,,25,萬里區,75~79歲,75,79,不相關,0.0,男,離婚,1,0
109,,25,萬里區,80~84歲,80,84,不相關,0.0,女,喪偶,0,168
109,,25,萬里區,80~84歲,80,84,不相關,0.0,女,喪偶,1,0
109,,25,萬里區,80~84歲,80,84,不相關,0.0,女,有偶,0,56
109,,25,萬里區,80~84歲,80,84,不相關,0.0,女,有偶,1,0
109,,25,萬里區,80~84歲,80,84,不相關,0.0,女,未婚,0,6
109,,25,萬里區,80~84歲,80,84,不相關,0.0,女,離婚,0,3
109,,25,萬里區,80~84歲,80,84,不相關,0.0,女,離婚,1,0
109,,25,萬里區,80~84歲,80,84,不相關,0.0,男,喪偶,0,31
109,,25,萬里區,80~84歲,80,84,不相關,0.0,男,喪偶,1,0
109,,25,萬里區,80~84歲,80,84,不相關,0.0,男,有偶,0,119
109,,25,萬里區,80~84歲,80,84,不相關,0.0,男,有偶,1,0
109,,25,萬里區,80~84歲,80,84,不相關,0.0,男,未婚,0,4
109,,25,萬里區,80~84歲,80,84,不相關,0.0,男,離婚,0,2
109,,25,萬里區,80~84歲,80,84,不相關,0.0,男,離婚,1,0
109,,25,萬里區,85~89歲,85,89,不相關,0.0,女,喪偶,0,147
109,,25,萬里區,85~89歲,85,89,不相關,0.0,女,喪偶,1,0
109,,25,萬里區,85~89歲,85,89,不相關,0.0,女,有偶,0,30
109,,25,萬里區,85~89歲,85,89,不相關,0.0,女,有偶,1,0
109,,25,萬里區,85~89歲,85,89,不相關,0.0,女,未婚,0,2
109,,25,萬里區,85~89歲,85,89,不相關,0.0,女,離婚,0,1
109,,25,萬里區,85~89歲,85,89,不相關,0.0,女,離婚,1,0
109,,25,萬里區,85~89歲,85,89,不相關,0.0,男,喪偶,0,28
109,,25,萬里區,85~89歲,85,89,不相關,0.0,男,喪偶,1,0
109,,25,萬里區,85~89歲,85,89,不相關,0.0,男,有偶,0,72
109,,25,萬里區,85~89歲,85,89,不相關,0.0,男,有偶,1,0
109,,25,萬里區,85~89歲,85,89,不相關,0.0,男,未婚,0,2
109,,25,萬里區,85~89歲,85,89,不相關,0.0,男,離婚,0,1
109,,25,萬里區,85~89歲,85,89,不相關,0.0,男,離婚,1,0
109,,25,萬里區,90~94歲,90,94,不相關,0.0,女,喪偶,0,72
109,,25,萬里區,90~94歲,90,94,不相關,0.0,女,喪偶,1,0
109,,25,萬里區,90~94歲,90,94,不相關,0.0,女,有偶,0,5
109,,25,萬里區,90~94歲,90,94,不相關,0.0,女,有偶,1,0
109,,25,萬里區,90~94歲,90,94,不相關,0.0,女,未婚,0,0
109,,25,萬里區,90~94歲,90,94,不相關,0.0,女,離婚,0,0
109,,25,萬里區,90~94歲,90,94,不相關,0.0,女,離婚,1,0
109,,25,萬里區,90~94歲,90,94,不相關,0.0,男,喪偶,0,17
109,,25,萬里區,90~94歲,90,94,不相關,0.0,男,喪偶,1,0
109,,25,萬里區,90~94歲,90,94,不相關,0.0,男,有偶,0,16
109,,25,萬里區,90~94歲,90,94,不相關,0.0,男,有偶,1,0
109,,25,萬里區,90~94歲,90,94,不相關,0.0,男,未婚,0,1
109,,25,萬里區,90~94歲,90,94,不相關,0.0,男,離婚,0,0
109,,25,萬里區,90~94歲,90,94,不相關,0.0,男,離婚,1,0
109,,25,萬里區,95~99歲,95,99,不相關,0.0,女,喪偶,0,18
109,,25,萬里區,95~99歲,95,99,不相關,0.0,女,喪偶,1,0
109,,25,萬里區,95~99歲,95,99,不相關,0.0,女,有偶,0,0
109,,25,萬里區,95~99歲,95,99,不相關,0.0,女,有偶,1,0
109,,25,萬里區,95~99歲,95,99,不相關,0.0,女,未婚,0,0
109,,25,萬里區,95~99歲,95,99,不相關,0.0,女,離婚,0,1
109,,25,萬里區,95~99歲,95,99,不相關,0.0,女,離婚,1,0
109,,25,萬里區,95~99歲,95,99,不相關,0.0,男,喪偶,0,4
109,,25,萬里區,95~99歲,95,99,不相關,0.0,男,喪偶,1,0
109,,25,萬里區,95~99歲,95,99,不相關,0.0,男,有偶,0,4
109,,25,萬里區,95~99歲,95,99,不相關,0.0,男,有偶,1,0
109,,25,萬里區,95~99歲,95,99,不相關,0.0,男,未婚,0,0
109,,25,萬里區,95~99歲,95,99,不相關,0.0,男,離婚,0,0
109,,25,萬里區,95~99歲,95,99,不相關,0.0,男,離婚,1,0
109,,25,萬里區,100歲以上,100,120,不相關,0.0,女,喪偶,0,3
109,,25,萬里區,100歲以上,100,120,不相關,0.0,女,喪偶,1,0
109,,25,萬里區,100歲以上,100,120,不相關,0.0,女,有偶,0,0
109,,25,萬里區,100歲以上,100,120,不相關,0.0,女,有偶,1,0
109,,25,萬里區,100歲以上,100,120,不相關,0.0,女,未婚,0,0
109,,25,萬里區,100歲以上,100,120,不相關,0.0,女,離婚,0,0
109,,25,萬里區,100歲以上,100,120,不相關,0.0,女,離婚,1,0
109,,25,萬里區,100歲以上,100,120,不相關,0.0,男,喪偶,0,0
109,,25,萬里區,100歲以上,100,120,不相關,0.0,男,喪偶,1,0
109,,25,萬里區,100歲以上,100,120,不相關,0.0,男,有偶,0,0
109,,25,萬里區,100歲以上,100,120,不相關,0.0,男,有偶,1,0
109,,25,萬里區,100歲以上,100,120,不相關,0.0,男,未婚,0,0
109,,25,萬里區,100歲以上,100,120,不相關,0.0,男,離婚,0,0
109,,25,萬里區,100歲以上,100,120,不相關,0.0,男,離婚,1,0
109,,26,平溪區,未滿15歲,0,14,不相關,0.0,女,喪偶,0,0
109,,26,平溪區,未滿15歲,0,14,不相關,0.0,女,喪偶,1,0
109,,26,平溪區,未滿15歲,0,14,不相關,0.0,女,有偶,0,0
109,,26,平溪區,未滿15歲,0,14,不相關,0.0,女,有偶,1,0
109,,26,平溪區,未滿15歲,0,14,不相關,0.0,女,未婚,0,291
109,,26,平溪區,未滿15歲,0,14,不相關,0.0,女,離婚,0,0
109,,26,平溪區,未滿15歲,0,14,不相關,0.0,女,離婚,1,0
109,,26,平溪區,未滿15歲,0,14,不相關,0.0,男,喪偶,0,0
109,,26,平溪區,未滿15歲,0,14,不相關,0.0,男,喪偶,1,0
109,,26,平溪區,未滿15歲,0,14,不相關,0.0,男,有偶,0,0
109,,26,平溪區,未滿15歲,0,14,不相關,0.0,男,有偶,1,0
109,,26,平溪區,未滿15歲,0,14,不相關,0.0,男,未婚,0,364
109,,26,平溪區,未滿15歲,0,14,不相關,0.0,男,離婚,0,0
109,,26,平溪區,未滿15歲,0,14,不相關,0.0,男,離婚,1,0
109,,26,平溪區,15~19歲,15,19,部分重疊,0.4,女,喪偶,0,0
109,,26,平溪區,15~19歲,15,19,部分重疊,0.4,女,喪偶,1,0
109,,26,平溪區,15~19歲,15,19,部分重疊,0.4,女,有偶,0,0
109,,26,平溪區,15~19歲,15,19,部分重疊,0.4,女,有偶,1,0
109,,26,平溪區,15~19歲,15,19,部分重疊,0.4,女,未婚,0,225
109,,26,平溪區,15~19歲,15,19,部分重疊,0.4,女,離婚,0,0
109,,26,平溪區,15~19歲,15,19,部分重疊,0.4,女,離婚,1,0
109,,26,平溪區,15~19歲,15,19,部分重疊,0.4,男,喪偶,0,0
109,,26,平溪區,15~19歲,15,19,部分重疊,0.4,男,喪偶,1,0
109,,26,平溪區,15~19歲,15,19,部分重疊,0.4,男,有偶,0,1
109,,26,平溪區,15~19歲,15,19,部分重疊,0.4,男,有偶,1,0
109,,26,平溪區,15~19歲,15,19,部分重疊,0.4,男,未婚,0,206
109,,26,平溪區,15~19歲,15,19,部分重疊,0.4,男,離婚,0,0
109,,26,平溪區,15~19歲,15,19,部分重疊,0.4,男,離婚,1,0
109,,26,平溪區,20~24歲,20,24,完全落入,1.0,女,喪偶,0,0
109,,26,平溪區,20~24歲,20,24,完全落入,1.0,女,喪偶,1,0
109,,26,平溪區,20~24歲,20,24,完全落入,1.0,女,有偶,0,16
109,,26,平溪區,20~24歲,20,24,完全落入,1.0,女,有偶,1,0
109,,26,平溪區,20~24歲,20,24,完全落入,1.0,女,未婚,0,274
109,,26,平溪區,20~24歲,20,24,完全落入,1.0,女,離婚,0,4
109,,26,平溪區,20~24歲,20,24,完全落入,1.0,女,離婚,1,0
109,,26,平溪區,20~24歲,20,24,完全落入,1.0,男,喪偶,0,0
109,,26,平溪區,20~24歲,20,24,完全落入,1.0,男,喪偶,1,0
109,,26,平溪區,20~24歲,20,24,完全落入,1.0,男,有偶,0,8
109,,26,平溪區,20~24歲,20,24,完全落入,1.0,男,有偶,1,0
109,,26,平溪區,20~24歲,20,24,完全落入,1.0,男,未婚,0,331
